127593 97859
121816 73397 34715
17956 106882 121006
103823 19707 113193
114889 103292 199002
7694 7448 32469
52371 16089 81073
72866 6676 67960
84863 12807 152263
6127 34115 24957
7846 126375 53541
93557 96843 45917
94871 79627 63163
89819 17872 119413
107842 74488 105400
71661 89552 38161
118127 71514 124397
8755 33465 106622
50188 117390 95823
104649 59563 140491
23291 22241 50174
59985 21241 156484
87221 56570 167618
98428 122005 86916
66382 5176 162607
72260 26733 64963
54785 89475 29375
6429 119873 176989
28622 118940 103352
113340 47888 92428
19139 13536 115655
12175 11562 4458
101937 16344 82449
96162 103521 185094
117550 47016 146333
78474 20798 52594
56440 86864 22078
75027 85691 148956
3805 81196 78346
113689 80746 89223
58964 116043 164579
124454 49073 23698
1815 34972 64456
52392 7567 106193
5420 77310 95162
112453 111165 125312
91335 84287 90628
33911 50839 2265
79845 20170 184871
67166 48067 55603
34830 26555 122859
70539 110579 76607
112897 65531 133348
117656 40188 70324
17886 10494 28083
106608 12105 179098
54186 92447 123756
31993 82026 93990
108447 29030 16228
39609 4585 39214
97903 17578 84748
92112 119161 1570
13386 54172 31251
28221 48328 90130
82705 35618 1953
1933 127397 171484
32262 125121 92593
79003 108939 57118
77779 52410 97987
87722 111720 142662
110996 65221 95232
37888 100529 44805
125367 16255 14471
34609 76895 22668
71973 74371 1261
121717 4388 135434
54746 60967 198620
99198 22221 77240
88816 33927 165128
125671 89936 102608
120171 32176 64671
127545 20502 154411
110097 27217 79478
10285 88753 147651
54918 52525 167012
55387 89795 69469
4941 72072 119091
52490 96522 8127
104850 5894 34981
82530 44729 68872
112755 116687 36286
117032 103254 90966
88543 101208 66954
121279 8719 117010
22463 95014 125897
45627 13092 173960
51095 15918 76147
13491 48985 100754
92063 30617 94999
114184 19632 28470
19499 85878 46561
80506 45459 64749
102900 91387 52562
73688 84552 104219
25971 44894 29790
9593 3328 21860
46866 16409 182732
42419 17623 81849
50812 75277 84590
29328 75180 90039
46844 7680 3537
12473 110826 175144
93932 67658 132311
112630 79793 71929
51495 54903 18403
82073 84509 119669
21819 80464 97200
117931 57445 92834
3596 14574 82776
111064 95178 191095
27801 127131 199040
57201 76942 196897
97576 119684 34628
61212 121944 36366
40188 91891 47113
98762 62261 197981
87261 111867 171617
71106 126161 126756
24402 117612 189774
77341 9560 52457
110189 107982 197818
72503 68558 49445
83883 94177 73262
1876 35161 88781
123262 71915 158388
61209 59491 146949
54270 108513 7457
98972 102238 168830
43300 30855 119584
66354 41458 60998
24487 96828 31882
21114 104559 41206
72899 3379 114612
7180 105514 45056
56677 30071 133790
121270 28803 5990
3557 73799 6291
49525 121104 135973
101005 12127 113007
77397 55072 90825
113286 9600 150502
87360 22313 125875
117300 90975 85702
98649 69281 47010
50325 59297 152350
70184 106141 158497
71476 61209 83059
67401 83308 76958
63964 12448 10832
52394 75377 72686
110831 35529 113180
6633 90831 72811
26665 69132 154020
19656 76773 1812
106422 26571 14263
121917 15180 90000
85518 69844 92240
42762 78311 123505
114455 46754 36094
14990 267 22648
5932 102642 6040
37126 28309 143600
73140 53789 144079
7738 75542 64495
85419 2599 162186
33911 7557 107681
58802 2573 111771
111719 121509 55068
26811 115820 177728
90853 45228 34709
92298 74502 94121
106903 76213 47755
28965 28797 180132
123110 90162 112827
75885 90491 117865
49657 93909 99420
9009 60914 41489
27309 101016 78364
108413 100357 65080
104557 122274 73690
88349 74197 47993
36584 6692 168065
63832 13469 149551
110833 6481 19359
65633 80064 90571
90833 39510 190895
11730 112492 122361
32492 94795 144454
54431 77343 135829
86139 12470 11337
44734 120865 95863
85917 20781 72208
121409 114970 117125
94850 39852 70350
59601 94729 152160
76825 97690 15917
19187 123437 178976
2828 37576 19434
12695 96635 160269
48166 109997 177423
102538 9485 103712
85694 28880 58485
112791 31390 184618
101958 102934 95786
71752 5817 41276
112117 2367 124881
77465 80290 183193
41514 125169 44081
121187 39785 121901
60495 115766 199883
9633 108045 180360
22030 56919 122191
123660 53757 55959
63568 81689 34501
23474 112373 28241
86637 120123 114964
68138 44274 164225
125000 110702 96758
28118 39807 188127
47600 86983 54764
64926 27919 159548
25985 93085 164053
55054 54148 175567
54384 8732 66784
99136 122097 180422
62159 104492 72783
12617 10936 58609
80485 115640 82112
67924 108840 18223
50280 12138 78884
95355 13219 152753
121493 51278 53598
27998 74144 77556
82779 65047 8890
104370 33597 77268
18332 114726 130377
37631 102683 107755
62716 37465 127636
48329 60527 144837
100601 105770 147794
44755 125943 134281
39616 104571 187088
107716 24019 161748
100899 70649 82937
106640 77 2702
101768 26063 118428
103815 87164 171347
72080 77526 72666
103269 104709 59745
45542 64158 156705
102444 75918 30460
6298 32144 126869
38592 54275 144106
36583 13694 66796
83072 77267 72808
3485 30225 118024
86494 70325 67030
48261 32580 60942
80581 25441 118106
78117 115122 65475
51801 74924 84499
72321 6805 16172
109488 39992 96307
67612 27988 156388
76321 119409 165197
94567 99973 115173
116517 116874 63195
11565 78422 96938
61829 63477 139560
10173 123915 44220
65035 27446 128041
856 90880 11750
98914 125952 164727
46688 70162 61282
27037 13201 115995
114321 81283 69919
93260 37888 78563
43002 10005 147067
58010 19710 25290
28874 25963 50899
23785 122277 197256
101027 96074 38139
119350 103342 90885
117210 58287 60402
123532 86752 198327
42225 26462 119663
48940 22765 82974
40678 67250 84539
10640 124943 40527
47836 104197 142550
91503 15720 3337
56589 2754 91030
111743 116892 92245
13160 36211 10185
28116 89389 93396
14792 33370 127132
55407 2349 65001
87037 57228 41408
63667 31866 85871
111368 5848 95388
44510 88681 119631
65728 92156 198435
120479 122740 76507
126099 117100 132812
93515 23236 160810
119552 95162 5700
57388 102332 33321
50422 69410 38417
76357 105742 171562
75032 55730 187964
63854 51162 194072
62925 46752 76403
38764 122238 73158
53474 27284 14292
91402 41690 33349
103868 44427 46831
41845 44365 45511
21964 115767 32150
115839 50267 1751
45381 119324 10099
64388 40546 79748
102450 61568 174527
48839 23443 83456
12433 2016 121332
86629 6305 12118
22754 62610 29460
77394 26233 143256
85350 11180 118171
105617 107183 30348
125171 105615 9662
34767 35128 44508
54792 21225 38796
126750 8658 33967
11956 119259 83453
92920 10271 196398
58904 55594 97838
103066 95773 119172
34134 98043 58352
6099 35409 66668
52125 126065 140689
62869 17113 199998
19598 96235 182130
11169 67153 11448
62523 20818 25227
17054 105041 127490
120210 123959 192464
92492 40498 104536
119203 115771 119912
116637 63682 197041
14603 93827 82326
83124 76920 8862
16360 445 19
12234 68627 150575
104740 83334 5203
106180 91099 169057
52529 107987 117704
31209 100458 47094
57075 101210 91719
39719 19744 108847
119721 11261 27024
55595 65071 44918
54314 104919 57387
112154 123049 160675
30472 76874 113423
5970 29450 52916
55626 113891 134595
72151 47523 2533
26134 64146 184353
2432 5447 189449
58493 26879 145856
114663 22642 112389
88694 46877 125409
110048 5257 45887
62839 37580 124289
93451 61347 176429
19322 61829 4945
82644 73851 33974
49423 17660 197272
72438 39779 85315
29642 126000 48666
8187 55744 48712
43522 108772 177955
77324 15918 60835
53123 11947 107483
24636 74613 70810
110575 114792 195794
5817 98062 16605
53590 38705 178315
13787 39128 30915
79468 93723 93070
86826 114379 107921
54120 23282 118913
8532 85862 198976
13430 97923 134836
70952 106000 43574
85168 84119 61230
115710 59982 195878
26808 119862 148505
75394 88038 92166
7375 52644 75383
52453 44370 79375
28241 66742 47410
116744 99168 141303
106558 81168 7272
22191 91374 133626
98711 81287 108367
77025 105221 43642
12109 51157 78748
120265 11217 114987
28304 88240 67326
45930 119553 43857
63923 67010 134612
76083 41591 11840
73358 11021 87294
125128 111695 127683
36043 87613 134207
68800 61826 184922
22171 34809 154828
85759 19539 17154
122680 65274 4644
89808 69291 89136
117174 10825 10314
13413 81678 4032
12299 10601 10254
60133 122795 72566
66836 114408 106417
4270 16331 36596
109696 17952 188563
123336 39950 121268
65724 87192 159699
22594 82492 121400
31044 14391 37545
110118 113313 167450
395 112103 140866
109556 68157 35480
89379 42769 158529
126287 8061 115098
67799 93896 51526
50113 99697 123655
27761 28061 134859
88389 10743 87485
8289 66822 108308
50852 13348 145963
74882 12549 74558
42365 14897 31249
110736 3457 176899
95728 53617 171380
126054 73365 11580
60275 77833 53146
28184 113900 62808
121352 48759 54418
11334 79850 28176
67517 35963 43485
67730 84502 63662
118631 80703 51233
31851 29832 20348
96426 70065 161008
86146 43232 172443
113921 101437 64551
82520 21482 81015
115655 41205 54228
124598 27691 138974
117197 36278 125969
107956 61760 199208
40039 95218 121369
65994 68123 29577
82171 100508 72141
97264 111033 142797
127250 98400 10673
113026 44074 137310
50116 78506 123246
114602 92049 69382
105912 107176 133289
2156 38510 128428
10400 90651 185957
102428 85488 100673
126586 36458 149009
24495 103088 24239
37351 61313 176761
2297 13356 94710
90522 80638 117273
52493 12336 176399
28340 29101 167421
19977 120260 159270
90712 58931 76874
32227 83188 95951
51304 84496 128674
93145 4945 39894
125340 45469 156331
62117 30269 78159
29169 72392 146317
89434 74282 30843
43020 65821 140085
72110 41867 18811
19770 104622 73356
56170 115301 50423
125017 70212 63642
68507 103442 125477
64533 13964 193069
121258 32318 54923
53987 108147 2748
91442 79523 146309
68497 30675 134624
93629 65869 197445
66396 8761 75520
70527 121954 92856
70312 103269 195371
6893 58602 95482
7959 34890 114860
24436 43260 162894
11678 120159 88495
9810 16630 195411
90767 65972 81160
105627 68835 82002
89698 111853 162128
19282 98817 119831
25524 78416 103869
4915 61132 160350
62036 15436 70934
47830 125516 7088
79886 62464 124225
35463 124996 135368
16494 122181 81775
3774 88319 176902
10003 9589 173211
69808 636 165657
64652 86747 187729
21828 14977 52725
124880 87920 133289
115938 1097 155648
3063 85307 175683
46032 28915 181607
33287 97856 178379
68390 111841 58082
10528 105934 28094
53583 68073 171402
74805 72949 192583
118180 92514 161123
13575 93861 129699
108342 93547 157819
70473 104185 134175
55291 49983 181322
115530 112152 61104
73758 66610 19674
10854 46043 32357
35332 90164 60618
103656 78096 174280
70123 95664 44943
122413 105214 95517
29503 74972 42911
77138 119029 113662
84447 7565 135476
126298 101015 135025
74142 33697 147668
5690 25085 76547
114175 56961 96483
44834 45182 4986
76038 111879 91668
20966 66581 87733
66219 380 49120
59167 113196 89169
84736 108906 119840
41937 75627 26177
45958 56007 184630
108148 97639 174546
51831 60352 15370
53656 61333 181179
26021 88060 64153
103846 7727 182186
5004 61935 191890
6345 111854 13414
2077 26344 133720
81784 100830 158288
7963 117976 98215
127424 107532 125497
26541 92291 76316
100960 62239 120930
37239 26232 45641
24105 90881 157379
119276 127134 24359
106696 89554 152465
75216 22075 25763
97040 41157 161437
87418 80163 27022
27459 114822 149465
22323 47712 179641
3496 78528 194558
19346 56786 199607
98287 7494 117042
61914 44759 185276
87150 58237 136388
113524 89936 22059
93417 8581 48116
108559 17236 2977
66582 119655 147867
108792 100410 87736
108084 30341 45406
105484 17751 67428
76958 95248 45541
35778 1040 75039
100834 39330 82328
42284 58340 49054
85910 114232 136854
101451 117262 68482
87694 84641 183044
64053 8625 75644
29204 113410 82249
16298 80540 94114
123593 1064 159890
109994 62993 136335
42395 81217 109349
91669 11791 148729
9059 30313 146656
46994 15240 63313
93180 102444 136486
114955 57263 129671
9701 4454 5013
73978 14781 133446
25963 24678 174302
16948 105246 127563
91968 113500 198141
68488 94191 187544
119370 37144 87604
12809 92107 183176
54318 54005 183503
4088 109359 193588
46602 83224 199600
31820 23066 111415
101583 99975 151800
66396 36613 180005
82928 94751 27932
57898 13096 43713
54042 55019 7661
8190 100227 25568
122032 75202 29725
100780 13305 122187
119346 99559 36941
69988 115123 42591
8535 85565 150419
96106 41688 173761
24553 119078 190051
89408 124446 73317
118475 95593 48066
10319 107080 45948
74483 105362 180630
29718 82310 148202
86560 62147 178731
125951 37739 158867
80750 12014 145934
100411 100730 4403
111231 99256 66819
2321 8822 187429
94670 103437 124234
30680 32342 48852
109051 115444 83169
18683 52732 156368
64422 15832 13873
44597 69927 146104
20317 101411 196890
102350 43186 64994
96018 66678 52757
4828 92273 173938
93608 53905 104555
122606 99616 64512
85711 23999 173820
64124 33871 74001
32391 36340 103576
64490 2269 130623
19606 64094 99701
35443 86175 128435
30472 68738 55159
6929 71070 69092
1516 54260 168689
37507 114160 112305
55583 15902 199581
113240 85854 174091
11167 28439 173062
32632 75433 75279
62648 57703 8095
106221 120281 169130
106283 126777 156144
108058 96852 184050
43591 84116 160991
44873 49720 159472
77944 114851 197355
40277 94003 64831
116218 77508 155339
89381 117612 170681
95458 123054 54397
71084 82445 135015
4540 63897 16434
53567 125911 11742
29562 68419 109608
126850 88287 178216
11365 119317 161465
108864 67145 89898
21364 48549 72491
72869 39479 116092
82383 71843 89414
53588 27220 61618
106157 47835 82996
82699 1247 128477
52324 63186 136549
50069 44669 131121
72462 73604 146417
72987 86503 71576
66704 18559 71601
48999 38682 163289
29288 71818 110704
68176 23108 187764
124982 81851 102172
85674 67176 70807
115378 54374 189302
101622 36560 19592
46811 83472 4958
24160 11164 119802
102461 14275 105121
68285 58661 72603
24560 94187 130072
1693 62592 199401
35029 68169 150890
31414 33296 25438
72806 125510 9417
60720 119240 153204
16427 109280 139527
23299 13731 154191
74083 38012 197617
60117 95257 140935
105843 110430 186388
34361 102388 14647
115035 111383 119410
52715 121068 186346
80731 102542 3474
70199 32076 28489
103844 34969 12758
27300 42449 178357
1866 12824 86716
21406 32886 176914
83727 64018 64062
82810 117642 46680
80112 18459 34376
25738 86078 46992
67100 30196 14520
91037 21588 93859
51628 29586 165655
87315 31207 196999
111481 53441 16148
96101 62551 162402
30120 37582 126973
73770 53873 189953
46741 2388 6735
80213 19626 140035
35827 72231 74700
66502 59731 6610
12484 20507 45714
113169 109624 181313
31637 29354 134380
27703 127223 59416
83304 65051 13256
8986 41263 16642
124195 102311 20006
83342 42978 4546
113996 107589 93589
31910 91135 17643
48852 16962 148859
80132 23156 97596
26176 32117 35257
101819 33726 72345
86499 37648 1484
32958 106596 93615
37720 47337 141990
62268 111151 83493
64446 106246 31365
111243 78071 188152
11509 85641 148904
68035 35053 31633
106354 73547 79582
57063 93312 154483
47914 92770 142398
59760 105885 84869
40751 47578 112804
107923 84956 147829
49219 125875 8484
3171 98018 24639
35229 124948 77971
100642 16727 192227
18420 31493 113164
3412 93228 64341
124645 7806 17323
73966 7893 116951
61650 116949 128615
125182 106433 116269
66742 93043 64844
60610 84687 60300
116487 62276 8559
120620 121459 27050
23146 3438 115858
35226 75140 65738
36721 67714 97185
121908 77869 43876
22328 100205 134455
116151 117506 33056
103550 97071 146492
117215 68377 39693
42564 119626 99899
2291 72938 11239
57126 40165 176696
10241 43472 107065
8738 76075 4093
35515 26034 171185
88343 19945 115702
40193 109619 189244
126574 633 7125
94928 43949 132643
51101 4060 142487
117258 43266 105390
54038 23699 13619
6834 33878 42028
108690 49950 110655
125089 32582 177571
27658 48008 92219
19269 120817 93646
102947 104229 24281
64567 101956 193671
106932 66451 98068
18868 27394 130954
81533 3216 54058
82709 123743 91710
55776 31912 139361
73258 123720 131423
56255 52694 74621
31004 23972 175765
35680 17863 171255
97722 79618 84949
67830 120909 82844
61522 68045 169365
73167 62559 68333
13163 20000 41613
35178 7402 130429
11527 82240 65143
113029 67483 39082
71535 118715 47359
77056 51359 22725
104473 83281 81067
52008 70067 107090
23046 42289 80854
65902 911 12186
16841 10306 53894
26439 25587 35234
15886 87871 175912
8136 75987 157230
37886 112461 155116
38457 60160 134246
15952 58792 153648
124363 122148 63305
12538 61688 158719
105009 95767 189641
3845 22930 173573
6044 8192 128500
124860 32364 18701
122208 67813 10582
76662 56997 9822
124227 56012 63418
126456 88372 16300
76003 7072 64631
70587 95323 176492
104545 20594 144846
124049 30773 163358
7183 127431 1904
47607 59015 185499
46720 53932 94612
48544 113028 143094
30831 4966 48726
83367 42287 160920
59262 102875 189994
63074 112463 115824
115436 66629 76701
93893 42848 24142
92716 47106 78055
89476 2250 155627
12600 11132 174045
115015 100 10159
1742 12755 13672
52733 58108 178452
78402 25306 140873
108115 33368 67456
74689 70803 144480
67857 11827 193365
8986 104479 182288
90152 27561 136162
22875 32078 173993
112066 101904 29061
83697 123879 58944
64395 93792 72270
114441 49356 10115
116240 42825 21355
116174 24412 173739
94923 124657 192869
125596 92619 2768
78922 23430 192248
123063 124329 97882
86462 61219 74685
108441 38207 38918
80973 61562 51892
122666 111630 17808
42171 62056 158274
74344 5104 167224
45211 122554 119470
32722 14727 92145
63058 74739 109269
464 121493 48562
49119 122899 84656
1066 72057 100172
10506 24815 12545
120515 82676 48165
62177 19909 84529
98675 120529 150934
38767 36716 198132
8474 25445 188076
98744 29962 26468
119990 23333 161823
63105 109274 181188
74124 33275 65575
52137 10836 30991
4247 89910 197676
68001 72546 17473
78844 26012 110705
73909 73007 139213
83984 126130 7297
20073 88320 26231
102767 34872 67135
21164 108111 178022
12858 53918 155199
6216 26758 168419
105608 105892 108657
101952 32234 107265
127514 84808 181629
34880 30808 129415
388 1337 93815
107774 101763 132651
3352 124814 54208
49249 82596 82765
103067 24168 58465
31103 120082 25196
71827 118861 166044
85532 71225 88656
32782 89252 126826
124525 107905 155960
13682 101594 182756
115397 87119 108140
231 103997 72449
51062 12442 74959
121840 2220 14731
61203 51763 84770
120256 66226 122942
11166 44984 60317
77790 41660 24193
62998 37862 71565
120645 51540 8887
3328 95624 109389
107565 50338 182104
115978 8620 123883
29895 60649 43965
105522 3079 171551
23111 100966 183123
111971 51313 162382
39819 66727 125096
99038 4896 114435
22937 25601 37538
648 26631 97666
44155 33857 121173
85989 73603 151484
111891 62186 48502
98006 112782 127518
46158 118372 30026
73832 32520 146768
20138 85098 84396
19928 61074 63335
6468 37452 84491
114680 109583 48321
26083 75581 193490
10163 23438 83165
104506 117890 186152
114543 70262 158635
42866 37691 8412
45088 19424 41857
116874 81060 67079
64659 47284 140308
72012 84868 141912
88702 23373 171941
114373 91706 103044
52659 126695 75337
115252 1086 75469
22827 41047 111703
30817 87479 149532
93855 86362 120761
64088 7383 23439
61582 69564 5389
84511 12085 53944
25249 92250 174517
92592 31705 115494
19577 1560 175595
113754 93409 88397
122546 67145 191587
27666 24201 157059
22591 93508 121798
95185 25597 166939
30269 31941 54707
91984 109713 125366
69980 76021 169368
101340 45751 189745
112958 78767 142709
72909 114838 7626
73987 122194 42701
100946 40352 5471
123442 3171 193493
104602 121688 192429
25450 50166 14298
44961 38622 37030
9953 68184 35758
75325 109434 187105
51233 86776 3413
112580 124550 35472
82082 67790 141327
103856 112096 177780
38502 92918 3817
325 16500 32341
100180 40442 156023
35993 97931 9494
90903 49033 115084
22098 28675 45396
37224 107576 35496
73561 115744 135586
32811 9921 159315
8871 97178 197944
8414 60004 110066
11274 10392 16731
71646 112628 198656
64593 108122 89930
14199 58963 154
35945 97079 42166
4110 83599 2117
87814 23103 77487
40624 120158 37751
123049 82450 76038
75260 69599 30749
77177 77677 46048
124624 112144 40274
39440 79739 168800
25564 109321 46139
40986 79710 93269
41792 38571 131205
78928 72900 12372
89073 14596 136819
89627 95844 49216
1465 126598 152441
82337 67764 172869
88230 21217 55178
76658 49060 190908
48945 72634 110565
51700 87418 82889
87465 63925 175209
18944 14908 63853
62679 78429 93216
8201 60191 55846
109923 90328 166528
79358 101096 69266
95128 20593 72144
60392 15114 91840
15090 87590 18390
17736 6527 29567
4246 29644 178978
29552 366 122363
95790 65531 81230
86479 122486 110896
56525 14375 31053
72682 80212 24731
121137 100547 50834
89498 4202 50618
98421 124273 40573
65204 111764 61781
28190 116365 187528
102276 101190 71711
112134 95970 22467
71863 3923 102019
125800 12100 29744
88524 83824 175838
96108 72492 159829
80874 24818 55249
85932 96484 41456
122110 1581 63346
103277 67236 142054
117540 126383 157165
6248 38883 198108
18134 126923 54068
36736 27358 150479
127559 67294 181746
113911 62071 154887
113462 101200 68232
18773 17807 137143
64549 111837 169140
83856 63433 55806
34905 8017 86148
77974 101247 146178
83571 47731 65503
98219 106065 160981
65212 73608 54351
89029 98268 103618
53615 126778 16648
106738 58461 150653
108457 99935 42541
14781 54464 34809
32305 55030 74264
22163 38015 74499
103578 62355 99998
23646 22862 47750
60246 60326 33079
118796 6800 184828
35476 77482 25012
105910 25183 48004
40430 53151 109615
80110 118997 78819
92734 29521 67455
44996 13865 100147
95315 92510 196505
85188 6368 179220
115455 74240 187194
113776 28408 16725
114735 12308 168486
106990 57707 49642
88415 18698 48409
102841 96955 131471
104294 119151 34972
103288 79167 70899
7782 30692 86019
49743 63943 124847
119538 52532 117038
56919 36917 11863
77763 49652 116453
13155 64026 87770
17898 9292 163794
90839 110698 85423
11502 10033 50834
26052 104608 97344
15071 119841 8275
12158 14318 8642
108262 92469 75754
62934 94079 106924
76407 126494 174517
124310 107703 144599
73687 91126 17619
125085 30546 120370
63076 60126 118884
16722 98716 116396
5085 53562 27358
35279 34848 14416
106346 16875 113950
50625 70872 11033
44366 5847 188472
49746 13086 137611
36045 1568 93674
106421 12619 21689
62576 21495 64745
10538 65665 96409
117787 65202 42043
44482 24258 149705
57843 78615 174384
3873 7529 83835
71686 68669 25273
26579 57546 40183
75198 21759 106857
24743 54522 104692
60784 106714 55460
52266 120029 142104
125453 70289 108316
13371 126120 19036
124392 85643 135370
79318 93530 167511
65577 100139 27593
114332 23896 29656
69203 84096 196430
45217 125056 18803
103512 74968 118099
99352 100252 18739
120485 91714 127860
41681 104856 30333
108126 83751 80299
91395 61680 105568
32526 42980 142805
70347 31882 110809
21713 58697 41161
111557 44907 165489
10887 72563 42621
30424 67727 25229
66568 100461 112233
104485 110372 149142
49568 5569 130222
105979 32984 149062
32388 56285 90640
56427 24027 182263
67104 59393 115999
106048 105905 126259
117182 111226 96220
124504 105940 156779
48872 41273 126734
11927 106179 99694
65626 39711 124967
62120 98441 167086
47889 23792 13941
26826 52401 92702
38075 32867 26146
63447 95753 9943
75714 42963 135633
57478 338 94719
18698 73685 5604
55328 78601 182210
83076 62601 187322
16742 73462 105643
35311 78505 92532
80364 109825 8763
85781 100923 165837
119075 30304 104129
113954 114302 83964
112189 93030 193986
117773 44615 191281
123990 73690 71709
14045 124611 135187
89407 99191 63857
14725 49714 179175
60417 106038 71378
105586 54288 109525
104513 61424 15152
32854 104802 174717
24708 84348 128801
4187 31927 4786
84568 5526 147458
51184 36567 190716
85267 47705 40600
12228 12074 149354
38110 26983 46926
43830 118264 23005
58110 51858 98456
110834 62337 26485
2530 85622 38241
57454 18267 91637
50670 21446 41072
92223 126761 78906
22022 20468 133534
87629 14054 122624
76387 119369 102197
118054 4491 95456
59211 59394 167373
32894 125864 86668
80196 11177 107856
93909 46305 167303
122148 99349 44661
84692 20295 160793
69560 126351 181159
48544 72926 29073
42430 15232 199704
105572 55034 67487
92026 39311 28722
5481 121991 126197
97497 90221 60196
8729 110465 157256
97026 59366 136485
51983 54224 31421
105580 36859 70506
99183 106446 177066
81917 28654 933
101972 34744 113296
636 127366 73788
11457 29140 34473
93926 73553 147395
84062 63119 108372
5932 64937 11028
20510 111626 174494
94621 110859 196107
103532 108147 88097
8575 5260 143985
102198 57215 1928
53760 105497 170718
77929 19797 126950
14793 398 116436
77843 87646 96657
28306 53361 134350
41427 123903 2780
11666 113289 58552
5549 90179 48743
38392 86953 51113
91789 7207 98142
65910 44644 191453
100684 53667 159652
63021 39634 114073
54294 121027 166432
1777 116755 189474
19013 8188 46354
108814 95450 92476
49888 65343 12422
12517 123201 170869
32167 85469 78832
45957 42456 108856
94855 37392 136680
127373 78736 89812
102720 106722 62527
10563 99277 136758
28259 82164 191607
121467 9717 163004
82884 58351 11934
58056 99512 122495
3831 13195 37445
24355 97645 117499
72207 69278 90016
111338 21145 162556
117187 38030 80621
30018 66843 13288
25182 67196 170287
20445 123133 155453
115928 99111 80315
84759 63690 166741
31185 53286 195126
115816 8154 84372
30878 55601 187953
109714 115802 74521
95182 91157 113158
10485 12528 83468
51069 95997 79937
54691 116601 162087
65834 66623 124594
24898 41553 88945
44789 24430 22460
53108 80622 37007
56631 106174 42967
47023 62504 199167
89039 119147 85707
4880 13712 1402
65530 44611 61686
105521 48529 53511
81242 76864 89080
118059 101299 84503
120855 96498 4806
126357 34671 34931
31708 119856 119709
108359 111221 69611
23194 126133 115016
16618 15771 191735
10972 100094 22404
20094 84364 168785
53442 27099 159062
88483 45960 175870
107853 20476 33109
23039 13791 40673
107373 69804 4131
77627 119862 129059
110607 94302 23904
64835 57755 80724
118169 60191 20344
31378 37055 77465
41346 67670 12883
108476 111365 144662
53636 44498 42558
116839 68470 170230
3370 24419 158470
99485 69393 38572
106121 99553 115565
123079 93712 113260
126881 121532 192086
117550 96292 30164
92126 76408 133154
96113 30664 81074
93649 1554 175814
47325 42418 46180
97010 81884 54605
